from;to;label;richting;linktype;weight;verspreiding;volume
_platform;_platform;;;;;;
p-Zorgmail;Platform;;out;is;;;
p-Zorgdomein;Platform;;out;is;;;
p-Point;Platform;;out;is;;;
p-Vitalhealth;Platform;;out;is;;;
p-Sananet;Platform;;out;is;;;
p-Luscii;Platform;;out;is;;;
p-LSP;Platform;;out;is;;;
p-PGO;Platform;;out;is;;;
p-Zorgplatform;Platform;;out;is;;;
p-Covid-19 Portaal;Platform;;out;is;;;
p-Minddistrict;Platform;;out;is;;;
Patient;Platform;;out;link;;;
Zorgaanbieder;Platform;;out;link;;;
